word | morph | numbers 
абажур | абажур!
медзаключение | мед!заключ!ени!е 
медиальный | медиальн!ый
медиана | медиан!а
медианный | медиан!н!ый
медиатор | меди!атор!
медиация | меди!аци!я 
медиеваль | медиеваль!
медиевист | медиев!ист!
медиевистика | медиев!ист!ик!а
медик | мед!ик!
медикаментозный | медикамент!озн!ый
медикаменты | медикамент!ы
медико-биологический | мед!ик!о!-био!лог!ическ!ий
медико-восстановительный | мед!ик!о!-восстанов!и!тельн!ый
медико-санитарный | мед!ик!о!-санитар!н!ый
медико-хирургический | мед!ик!о!-хирург!ическ!ий
мединститут | мед!институт!
медистый | мед!ист!ый
медитативный | медит!ат!ивн!ый
медитация | медит!аци!я 
медиум1 | медиум!1 (посредник)
медиум2 | медиум!2 (муз.)
медиумизм | медиум!изм! (от медиум!1)
медиумический | медиум!ическ!ий (от медиум!1)
медицина | медицин!а
медицинский | медицин!ск!ий
медичка | мед!ич!к!а
медкомиссия | мед!комисси!я 
медленновращающийся | медл!енн!о!вращ!а!ющ!ий!ся
медленнодействующий | медл!енн!о!дей!ств!у!ющ!ий
медленнорастущий | медл!енн!о!раст!ущ!ий
медленный | медл!енн!ый
медлительность | медл!и!тельн!ость!
медлительный | медл!и!тельн!ый
медлить | медл!и!ть
медник | мед!ник!
медницкий | мед!ниц!к!ий
медно-аммиачный | мед!н!о!-аммиач!н!ый
медно-закисный | мед!н!о!-за!кис!н!ый
медно-красный | мед!н!о!-красн!ый
медно-литейный | мед!н!о!-ли!тей!н!ый
медно-никелевый | мед!н!о!-никел!ев!ый
медно-окисный | мед!н!о!-о!кис!н!ый
медно-прокатный | мед!н!о!-про!кат!н!ый
медно-химический | мед!н!о!-хим!ическ!ий
медно-цинковый | мед!н!о!-цинк!ов!ый
меднолобый | мед!н!о!лоб!ый
меднорудный | мед!н!о!руд!н!ый
медный | мед!н!ый
медоварение | мед!о!вар!ени!е 
медоваренный | мед!о!вар!енн!ый
медоварня | мед!о!вар!н!я
медовед | мед!о!вед!
медовик | мед!ов!ик!
медовый | мед!ов!ый
медогонка | мед!о!гон!к!а
медоед | мед!о!ед!
медок | мед!ок!
медонос | мед!о!нос!
медоносный | мед!о!нос!н!ый
медосбор | мед!о!с!бор!
медосмотр | мед!о!смотр!
медосос | мед!о!сос!
медоточивый | мед!о!точ!ив!ый
медперсонал | мед!персонал!
медпомощь | мед!по!мощь!
медпункт | мед!пункт!
медработник | мед!работ!ник!
медресе | медресе, нескл., с.
медсанбат | мед!сан!бат!
медсанчасть | мед!сан!часть!
медсестра | мед!сестр!а
медуза | медуз!а
медуница | мед!ун!иц!а
медфак | мед!фак!
медь | медь!
медьсодержащий | медь!содерж!ащ!ий
медяк | мед!як!
медянистый | мед!ян!ист!ый
медяница | мед!ян!иц!а
медянка | мед!ян!к!а
медяный | мед!ян!ый
медяшка | мед!яшк!а
меж | меж, предлог
межа | меж!а
межамериканский | меж!америк!ан!ск!ий
межарабский | меж!араб!ск!ий
межатомный | меж!атом!н!ый
межафриканский | меж!африк!ан!ск!ий
межбиблиотечный | меж!библи!о!теч!н!ый
межбригадный | меж!бригад!н!ый
межбровье | меж!бровь!е 
межведомственный | меж!ведомств!енн!ый
межвидовой | меж!вид!ов!ой
межвременье | меж!врем!ень!е 
межвузовский | меж!в!у!з!ов!ск!ий
межгалактический | меж!галактич!еск!ий
межгорье | меж!горь!е 
межгосударственный | меж!государств!енн!ый
междинастический | меж!династ!ическ!ий
междометие | междомети!е 
междометный | междомет!н!ый
междоузлие | межд!о!узл!и!е 
междоусобие | межд!о!усоб!и!е 
междоусобица | междоусобица - между!усоб!иц!а
между | между, предл.
междуведомственный | между!ведомств!енн!ый
междуглазье | между!глазь!е [!й!э]
междугородний | между!город!н!ый и между!город!н!ий
междугородный | между!город!н!ый и между!город!н!ий
междугорье | между!горь!е 
международник | между!народ!н!ик!
международно-правовой | между!народ!н!о!-прав!ов!ой
международный | между!народ!н!ый
междуначалие | между!начал!и!е 
междупалубный | между!палуб!н!ый
междупутье | между!путь!е 
междурейсовый | между!рейс!ов!ый
междуречье | между!речь!е [!й!э]
междурядный | между!ряд!н!ый
междурядье | между!рядь!е [!й!э]
междусобойчик | между!соб!ой!чик!
междустрочие | между!строч!и!е 
междустрочный | между!строч!н!ый
междуусобный | между!усоб!н!ый
междуцарствие | между!цар!ств!и!е 
междуэтажный | между!этаж!н!ый
межевание | меж!ева!ни!е 
межеванный | меж!ева!нн!ый
межевать | меж!ева!ть
межеваться | меж!ева!ть!ся
межевка | меж!ев!к!а
межевой | меж!ев!ой
меженный | межен!н!ый
межень | межень!
межжаберный | меж!жабер!н!ый
межзаводской | меж!завод!ск!ой
межзвездный | меж!звезд!н!ый
межзональный | меж!зон!альн!ый
межзубный | меж!зуб!н!ый
межигровой | меж!игр!ов!ой
межиздательский | меж!изда!тель!ск!ий
межинститутский | меж!институт!ск!ий
межирригационный | меж!ирриг!аци!онн!ый
межквартирный | меж!квартир!н!ый
межклассовый | меж!класс!ов!ый
межклетник | меж!клет!ник! 1 (от клетк!а)
межклетник | меж!клет!н!ик! 2 (от меж!клет!н!ый)
межклетный | меж!клет!н!ый
межклеточный | меж!клеточ!н!ый
межколхозный | меж!кол!хоз!н!ый
межкомнатный | меж!комнат!н!ый
межконтинентальный | меж!континент!альн!ый
межкостный | меж!кост!н!ый
межкраевой | меж!кра!ев!ой
межкристаллитный | меж!кристалл!ит!н!ый
межледниковый | меж!лед!ник!ов!ый
межличностный | меж!лич!н!ост!н!ый
межмерзлотный | меж!мерз!л!от!н!ый
межминистерский | меж!министер!ск!ий
межмолекулярный | меж!молекул!ярн!ый
межнавигационный | меж!навиг!аци!онн!ый
межнациональный | меж!наци!он!альн!ый
межник | меж!ник!
межобластной | меж!област!н!ой
межотраслевой | меж!от!рас!л!ев!ой
межпарламентский | меж!парламент!ск!ий
межпартийный | меж!партий!н!ый
межпланетный | меж!планет!н!ый
межплеменной | меж!плем!ен!н!ой
межплодник | меж!плод!ник!
межпозвоночный | меж!позвоноч!н!ый
межполосный | меж!полос!н!ый
межполосье | меж!полось!е 
межпородный | меж!пород!н!ый
межправительственный | меж!прав!и!тель!ств!енн!ый
межрайонный | меж!район!н!ый
межреберный | меж!ребер!н!ый
межрегиональный | меж!регион!альн!ый
межремонтный | меж!ремонт!н!ый
межреспубликанский | меж!республик!ан!ск!ий
межродовой | меж!род!ов!ой
межсезонный | меж!сезон!н!ый
межсезонье | меж!сезонь!е [!й!э]
межсессионный | меж!сесси!онн!ый
межсистемный | меж!систем!н!ый
межсовхозный | меж!сов!хоз!н!ый
межсортовой | меж!сорт!ов!ой
межсословный | меж!сослов!н!ый
межсоюзнический | меж!союз!нич!еск!ий
межсоюзный | меж!союз!н!ый
межтерриториальный | меж!территори!альн!ый
межуточный | меж!уточ!н!ый [ср.:про!меж!уток!]
межфакультетский | меж!факультет!ск!ий
межхозяйственный | меж!хозяй!ств!енн!ый
межцеховой | меж!цех!ов!ой
межчелюстной | меж!челюст!н!ой
межшахтный | меж!шахт!н!ый
межшкольный | меж!школь!н!ый
межъевропейский | межъ!европ!ей!ск!ий
межъязыковой | межъ!язык!ов!ой
межъярусный | межъ!ярус!н!ый
мезальянс | мезальянс!
мезга | мезг!а
мездра | мездр!а
мездрильный | мездр!и!ль!н!ый
мездрить | мездр!и!ть
мездровый | мездр!ов!ый
мездряной | мездр!ян!ой
мезентериальный | мез!ентери!альн!ый
мезентерий | мез!ентерий!
мезенхима | мез!енхим!а
мезогамия | мез!о!гам!и!я 
мезодерма | мез!о!дерм!а
мезозавр | мез!о!завр!
мезозой | мез!о!зой!
мезозойский | мез!о!зой!ск!ий
мезоклимат | мез!о!климат!
мезолит | мез!о!лит!
мезолитический | мез!о!лит!ическ!ий
мезоморфный | мез!о!морф!н!ый
мезон | мез!он!
мезонин | мезонин!
мезонный | мез!он!н!ый
мезоплазма | мез!о!плазм!а
мезорельеф | мез!о!рельеф!
мезотермальный | мез!о!терм!альн!ый
мезофилл | мез!о!филл!
мезофит | мез!о!фит!
мезоцефал | мез!о!цефал!
мезоцефалия | мез!о!цефал!и!я 
мексиканец | мексик!ан!ец!
мексиканка | мексик!ан!к!а
мексиканский | мексик!ан!ск!ий
мел | мел!
меланж | меланж!
меланжевый | меланж!ев!ый
меланжер | меланж!ер!
меланин | мелан!ин!
меланоз | мелан!оз!
меланома | мелан!ом!а
меланхолик | меланхол!ик!
меланхолический | меланхол!ическ!ий 1 (от меланхол!и!я)
меланхоличесхий | меланхол!ич!есх!ий 2 (от меланхол!ик!)
меланхоличный | меланхол!ич!н!ый
меланхолия | меланхол!и!я 
меласса | меласс!а
мелево | мел!ев!о
меледа | мелед!а
меленка | мел!енк!а
меленный | мел!енн!ый прич.
меленый | мел!ен!ый, прил.
меленький | мел!еньк!ий
мелеть | мел!е!ть
мелинит | мелин!ит!
мелинитовый | мелин!ит!ов!ый
мелиоративный | мелиор!ат!ивн!ый
мелиоратор | мелиор!атор!
мелиорационный | мелиор!аци!онн!ый
мелиорация | мелиор!аци!я 
мелиорированный | мелиор!ир!ова!нн!ый
мелиорировать | мелиор!ир!ова!ть
мелис | мелис! (сахарный песок)
мелисса | мелисс!а (бот.)
мелистый | мел!ист!ый
мелить | мел!и!ть
мелкий | мелк!ий
мелко-намелко | мелк!о!-на!мел!к!о
мелкобитый | мелк!о!би!т!ый
мелкобороздчатый | мелк!о!борозд!ч!ат!ый 2 (к борозд!к!а)
мелкобороздчатый | мелк!о!борозд!чат!ый 1 (к борозд!а)
мелкобуржуазный | мелк!о!буржуа!з!н!ый
мелковатый | мелк!оват!ый
мелковесный | мелк!о!вес!н!ый
мелководный | мелк!о!вод!н!ый
мелководье | мелк!о!водь!е [!й!э]
мелкодонный | мелк!о!дон!н!ый
мелкодробленый | мелк!о!дробл!ен!ый
мелкозем | мелк!о!зем!
мелкозерненый | мелк!о!зерн!ен!ый
мелкозернистый | мелк!о!зерн!ист!ый
мелкозубчатый | мелк!о!зуб!чат!ый
мелкозубый | мелк!о!зуб!ый
мелкокалиберный | мелк!о!калибер!н!ый
мелкокомковатый | мелк!о!ком!к!оват!ый
мелкокрестьянский | мелк!о!крестьян!ск!ий
мелкокристаллический | мелк!о!кристалл!ическ!ий
мелкокусковой | мелк!о!куск!ов!ой
мелкокустарниковый | мелк!о!куст!ар!ник!ов!ый
мелколепестник | мелк!о!лепест!ник!
мелколесье | мелк!о!лесь!е [!й!э]
мелколиственный | мелк!о!лист!в!енн!ый
мелколистный | мелк!о!лист!н!ый и мелк!о!лист!ый
мелколистый | мелк!о!лист!н!ый и мелк!о!лист!ый
мелкомасштабный | мелк!о!масштаб!н!ый
мелкомолотый | мелк!о!мол!о!т!ый
мелкооптовый | мелк!о!опт!ов!ый
мелкопишущий | мелк!о!пиш!ущ!ий
мелкоплодный | мелк!о!плод!н!ый
мелкопоместный | мелк!о!помест!н!ый
мелкораздробленный | мелк!о!раз!дробл!енн!ый
мелкоразмолотый | мелк!о!раз!мол!о!т!ый
мелкорасфасованный | мелк!о!рас!фас!ова!нн!ый
мелкорослый | мелк!о!рос!л!ый
мелкорубленый | мелк!о!рубл!ен!ый, прил.
мелкосерийный | мелк!о!серий!н!ый
мелкосидящий | мелк!о!сид!ящ!ий
мелкособственнический | мелк!о!собственн!ич!еск!ий
мелкосопочник | мелк!о!сопоч!ник!
мелкота | мелк!от!а
мелкотемье | мелк!о!темь!е 
мелкотоварный | мелк!о!товар!н!ый
мелкотолченый | мелк!о!толч!ен!ый
мелкоточечный | мелк!о!точеч!н!ый
мелкотравчатый | мелк!о!трав!чат!ый
мелкотравье | мелк!о!травь!е 
мелкоузорчатый | мелк!о!узор!чат!ый
мелкоцветный | мелк!о!цвет!н!ый
мелкочешуйчатый | мелк!о!чешуй!ч!ат!ый 2 (к чешуй!к!а)
мелкочешуйчатый | мелк!о!чешуй!чат!ый 1 (к чешу!я)
мелкошерстный | мелк!о!шерст!н!ый и мелк!о!шерст!ый
мелкошерстый | мелк!о!шерст!н!ый и мелк!о!шерст!ый
мелованный | мел!ова!нн!ый
меловой | мел!ов!ой
мелодекламатор | мел!о!деклам!атор!
мелодекламация | мел!о!деклам!аци!я 
мелодекламировать | мел!о!деклам!ир!ова!ть
мелодика | мелод!ик!а
мелодический | мелод!ическ!ий
мелодичность | мелод!ичн!ость!
мелодичный | мелод!ичн!ый
мелодия | мелоди!я 
мелодрама | мело!драм!а
мелодраматизм | мело!драм!ат!изм!
мелодраматический | мело!драм!ат!ическ!ий
мелодраматичный | мело!драм!ат!ичн!ый
мелок | мел!ок!
меломан | мел!о!ман!
меломания | мел!о!ман!и!я 
меломанка | мел!о!ман!к!а
мелос | мелос!
мелотипия | мел!о!тип!и!я 
мелочевка | мелоч!евк!а
мелочишка | мелоч!ишк!а
мелочной | мелоч!н!ой (о торговле)
мелочность | мелоч!н!ость!
мелочный | мелоч!н!ый (о человеке)
мелочь | мелочь!
мель | мель!
мельзавод | мель!завод!
мелькать | мельк!а!ть
мелькнуть | мельк!ну!ть
мельком | мельк!ом!
мелькомбинат | мель!комбинат!
мельник | мель!ник!
мельница | мель!ниц!а
мельничий | мель!нич!ий!
мельничиха | мель!нич!их!а
мельничный | мель!нич!н!ый
мельтешить | мельтеш!и!ть
мельтешиться | мельтеш!и!ть!ся
мельхиор | мельхиор!
мельхиоровый | мельхиор!ов!ый
мельчайший | мельч!айш!ий
мельчать | мельч!а!ть
мельче | мельч!е, сравн. ст. (от мелкий, мелко)
мельчить | мельч!и!ть
мелюзга | мел!юзг!а
мелющий | мел!ющ!ий
мембрана | мембран!а
мембранный | мембран!н!ый
меморандум | меморандум!
мемориал | мемориал!
мемориальный | мемориаль!н!ый
мемуарист | мемуар!ист!
мемуаристка | мемуар!ист!к!а
мемуарный | мемуар!н!ый
мемуары | мемуар!ы
мена | мен!а
менделизм | мендел!изм!
менеджер | менеджер!
менее | мен!ее, сравн. ст. (от малый, мало и маленький)
менестрель | менестрель!
мензула | мензул!а
мензульный | мензульн!ый
мензура | мензур!а (муз.)
мензуральный | мензур!альн!ый
мензурка | мензурк!а (сосуд)
мензурочный | мензуроч!н!ый
менивать | мен!ива!ть, наст. вр. не употр.
менингит | менинг!ит!
менингококк | менинг!о!кокк!
менингомиелит | менинг!о!миел!ит!
менингоэнцефалит | менинг!о!энцефал!ит!
мениск | мениск!
менисковый | мениск!ов!ый
меновой | мен!ов!ой
менонит | менонит!
менонитка | менонит!к!а
менонитский | менонит!ск!ий
менструальный | менстру!альн!ый
менструация | менстру!аци!я 
менструировать | менстру!ир!ова!ть
ментик | ментик!
ментол | ментол!
ментоловый | ментол!ов!ый
ментор | ментор!
менторский | ментор!ск!ий
менуэт | менуэт!
меньше | меньш!е, сравн. ст. (от малый, мало и маленький)
меньшевизм | меньш!ев!изм!
меньшевик | меньш!ев!ик!
меньшевиствовать | меньш!ев!и!ств!ова!ть
меньшевиствующий | меньш!ев!и!ств!у!ющ!ий
меньшевистский | меньш!ев!ист!ск!ий
меньшевичка | меньш!ев!ич!к!а
меньшенький | меньш!еньк!ий
меньший | меньш!ий
меньшинства | меньш!ин!ств!а, ед. меньш!ин!ств! (о нациях)
меньшинство | меньш!ин!ств!о (меньшая часть)
меньшой | меньш!ой
меню | меню, нескл., с.
меняла | мен!я!л!а, м.
меняльный | мен!я!ль!н!ый
менянный | мен!я!нн!ый
менять | мен!я!ть
меняться | мен!я!ть!ся
мера | мер!а
мергель | мергель!
мергельный | мергель!н!ый
мережа | мереж!а
мережка | мереж!к!а
мерекать | мерек!а!ть
меренга | меренг!а
меренный | мер!енн!ый, прич.
мереный | мер!ен!ый, прил.
мереть | мер!е!ть, мр!ет
мерехлюндия | мерехлюнди!я 
мерещиться | мерещ!и!ть!ся
мерея | мере!я 
мерзавец | мерз!ав!ец!
мерзавка | мерз!ав!к!а
мерзее | мерз!ее, сравн. ст. (от мерзкий, мерзко)
мерзейший | мерз!ейш!ий
мерзкий | мерзк!ий
мерзлота | мерз!л!от!а
мерзлотный | мерз!л!от!н!ый
мерзлотовед | мерз!л!от!о!вед!
мерзлотоведение | мерз!л!от!о!вед!ени!е 
мерзлый | мерз!л!ый
мерзляк | мерз!л!як!
мерзлятина | мерз!л!ятин!а
мерзлячка | мерз!л!яч!к!а
мерзнувший | мерз!ну!вш!ий
мерзнуть | мерз!ну!ть
мерзопакостный | мерз!о!пакост!н!ый
мерзостный | мерз!ост!н!ый
мерзость | мерз!ость!
меривать | мер!ива!ть, наст. вр. не употр.
меридиан | меридиан!
меридианный | меридиан!н!ый
меридиональный | меридион!альн!ый
мерило | мер!и!л!о
мерильный | мер!и!ль!н!ый
мерин | мерин!
меринок | мерин!ок!
меринос | меринос!
мериносовый | меринос!ов!ый
мерительный | мер!и!тельн!ый
мерить | мер!и!ть, мер!ю и мер!я!ю
мериться | мер!и!ть!ся, мер!ю!сь и мер!я!ю!сь
мерка | мер!к!а
меркантилизм | меркантил!изм!
меркантилист | меркантил!ист!
меркантилистический | меркантил!ист!ическ!ий
меркантилистский | меркантил!ист!ск!ий
меркантильность | меркантильн!ость!
меркантильный | меркантильн!ый
меркнувший | мерк!ну!вш!ий
меркнуть | мерк!ну!ть
мерлушечий | мерлушеч!ий!
мерлушка | мерлушк!а
мерлушковый | мерлушк!ов!ый
мерный | мер!н!ый
мероопределение | мер!о!определ!ени!е 
мероприятие | мероприяти!е 
мерочка | мер!оч!к!а
мерсеризация | мерсер!из!аци!я 
мерсеризованный | мерсер!из!ова!нн!ый
мерсеризовать | мерсер!из!ова!ть
мерсеризоваться | мерсер!из!ова!ть!ся
мерси | мерси, неизм.
мертвенно-бледный | мертв!енн!о!-бледн!ый
мертвенно-серый | мертв!енн!о!-сер!ый
мертвенный | мертв!енн!ый
мертветь | мертв!е!ть
мертвец | мертв!ец!
мертвецкая | мертв!ец!к!ая, -ой
мертвецки | мертв!ец!к!и
мертвецкий | мертв!ец!к!ий
мертвечина | мертв!еч!ин!а
мертвить | мертв!и!ть
мертвоед | мертв!о!ед!
мертворожденный | мертв!о!рожд!енн!ый
мертвый | мертв!ый
мертвятина | мертв!ятин!а
мерцание | мерц!а!ни!е 
мерцательный | мерц!а!тельн!ый
мерцать | мерц!а!ть
меря | мер!я
мерящий | мер!ящ!ий и мер!я!ющ!ий
меряющий | мер!ящ!ий и мер!я!ющ!ий
месиво | мес!ив!о
месилка | мес!и!л!к!а
месильный | мес!и!ль!н!ый
месить | мес!и!ть
меситься | мес!и!ть!ся
месмеризм | месмер!изм!
месса | месс!а
мессианизм | месси!ан!изм!
мессианский | месси!ан!ск!ий
мессия | месси!я, м.
местечко1 | мест!ечк!о1 (от мест!о)
местечко2 | мест!ечк!о2 (поселок)
местечковый | мест!ечк!ов!ый (от мест!ечк!о2)
мести | мес!ти
местком | мест!ком!
месткомовец | мест!ком!ов!ец!
месткомовский | мест!ком!ов!ск!ий
местничать | мест!н!ича!ть
местнический | мест!н!ич!еск!ий
местничество | мест!н!ич!еств!о
местность | мест!н!ость!
местный | мест!н!ый
место | мест!о
местоблюститель | мест!о!блюст!и!тель!
местожительство | мест!о!жи!тель!ств!о, но: мест!о жи!тель!ств!а
местоимение | местоимен!и!е 
местоименный | местоимен!н!ый
местонахождение | мест!о!на!хожд!е!ни!е 
местообитание | мест!о!обита!ни!е , но: мест!о обита!ни!я
местоположение | мест!о!по!лож!ени!е 
местопребывание | мест!о!пре!бы!ва!ни!е , но: мест!о пре!бы!ва!ни!я
месторасположение | мест!о!рас!по!лож!ени!е , но: мест!о рас!по!лож!ени!я
месторождение | мест!о!рожд!ени!е , но: мест!о рожд!ени!я
месть | месть!
месье | месье и мсье, нескл., м.
месяц | месяц!
месяцами | месяц!ами, нареч.
месяцеслов | месяц!е!слов!
месячина | месяч!ин!а
месячник | месяч!ник!
месячный | месяч!н!ый
мета | мет!а1 и мет!а (мишень)
мета1 | мет!а1 и мет!а (мишень)
мета2 | мет!а2 (метка)
метабазис | мета!базис!
метабиоз | мета!би!оз!
метаболизм | мета!бол!изм!
метаболит | мета!бол!ит!
метаболический | мета!бол!ическ!ий
метаболия | мета!бол!и!я 
метагалактика | мета!галактик!а
метагенез | мета!ген!ез!
метаданные | мета!да!нн!ые, -ых
металингвистика | мета!лингв!ист!ик!а
металл | металл!
металлизация | металл!из!аци!я 
металлизированный | металл!из!ир!ова!нн!ый
металлизировать | металл!из!ир!ова!ть
металлизироваться | металл!из!ир!ова!ть!ся
металлист | металл!ист!
металлический | металл!ическ!ий
металловед | металл!о!вед!
металловедение | металл!о!вед!ени!е 
металловедческий | металл!о!вед!ческ!ий
металловидный | металл!о!вид!н!ый
металлогенический | металл!о!ген!ическ!ий
металлогения | металл!о!ген!и!я 
металлограф | металл!о!граф!
металлографический | металл!о!граф!ическ!ий
металлография | металл!о!граф!и!я 
металлографский | металл!о!граф!ск!ий
металлоемкий | металл!о!ем!к!ий
металлоемкость | металл!о!ем!к!ость!
металлоид | металл!оид!
металлоидный | металл!оид!н!ый
металлоизделие | металл!о!из!дел!и!е 
металлокерамика | металл!о!керам!ик!а
металлокерамический | металл!о!керам!ич!еск!ий
металлоконструкция | металл!о!конструк!ци!я 
металлолом | металл!о!лом!
металлометрический | металл!о!метр!ическ!ий
металлоносный | металл!о!нос!н!ый
металлообрабатывающий | металл!о!об!рабат!ыва!ющ!ий
металлообработка | металл!о!об!работ!к!а
металлообразный | металл!о!образ!н!ый
металлооптика | металл!о!опт!ик!а
металлоплавильный | металл!о!плав!и!ль!н!ый
металлопласт | металл!о!пласт!
металлопокрытие | металл!о!по!кры!ти!е 
металлопорошок | металл!о!порошок!
металлопрокат | металл!о!про!кат!
металлопрокатный | металл!о!про!кат!н!ый
металлопромышленность | металл!о!промышл!енн!ость!
металлопромышленный | металл!о!промышл!енн!ый
металлорганический | металл!орган!ическ!ий
металлорежущий | металл!о!реж!ущ!ий
металлоремонтный | металл!о!ремонт!н!ый
металлотканый | металл!о!тк!а!н!ый
металлоткацкий | металл!о!тк!ац!к!ий
металлофизика | металл!о!физ!ик!а
металлофон | металл!о!фон!
металлохозяйственный | металл!о!хозяй!ств!енн!ый
металлсвязывающий | металл!с!вяз!ыва!ющ!ий
металлсодержащий | металл!содерж!ащ!ий
металлург | металл!ург!
металлургический | металл!ург!ическ!ий
металлургия | металл!ург!и!я 
металогика | мета!лог!ик!а
метаматематика | мета!математ!ик!а
метаморфизм | мета!морф!изм!
метаморфический | мета!морф!ическ!ий
метаморфоз | мета!морф!оз!
метаморфоза | мета!морф!оз!а
метан | метан!
метание | мет!а!ни!е 
метановый | метан!ов!ый
метанол | метан!ол!
метантанк | метан!танк! и метан!тенк!
метантенк | метан!танк! и метан!тенк!
метасоматизм | мета!сомат!изм!
метасоматический | мета!сомат!ическ!ий
метастабильный | мета!стабильн!ый
метастаз | метастаз!
метастатический | метастат!ическ!ий
метатеза | метатез!а
метатель | мет!а!тель!
метательница | мет!а!тель!ниц!а
метательный | мет!а!тельн!ый
метатрофный | мета!троф!н!ый
метать1 | мет!а!ть1, мет!а!ю (о шитье)
метать2 | мет!а!ть2, меч!у (бросать)
метаться1 | мет!а!ть!ся1, мет!а!ет!ся (от мет!а!ть1)
метаться2 | мет!а!ть!ся2, меч!у!сь (от мет!а!ть2)
метафизик | мета!физ!ик!
метафизика | мета!физ!ик!а
метафизический | мета!физ!ич!еск!ий
метафония | мета!фон!и!я 
метафора | метафор!а
метафорический | метафор!ическ!ий
метафоричный | метафор!ичн!ый
метафосфорный | мета!фосфор!н!ый
метафраза | мета!фраз!а
метацентр | мета!центр!
метацентрический | мета!центр!ическ!ий
метаязык | мета!язык!
метелистый | мет!ел!ист!ый
метелица | мет!ел!иц!а
метелка | мет!ел!к!а
метелочка | мет!ел!оч!к!а
метелочный | мет!ел!оч!н!ый
метель | мет!ель!
метельный | мет!ель!н!ый
метельчатый | мет!ель!чат!ый 1 (от мет!л!а)
метельчатый | мет!ель!ч!ат!ый 2 (от мет!ел!к!а)
метельщик | мет!ель!щик!
метенный | мет!енн!ый прич.
метеный | мет!ен!ый, прил.
метеограмма | метео!грамм!а
метеоинформация | метео!информ!аци!я 
метеопрогноз | метео!прогноз!
метеор | метеор!
метеорадиотелескоп | метео!радио!теле!скоп
метеоризм | метеор!изм!
метеорит | метеор!ит!
метеоритика | метеор!ит!ик!а
метеоритный | метеор!ит!н!ый
метеорический | метеор!ическ!ий
метеорный | метеор!н!ый
метеорограф | метеор!о!граф!
метеоролог | метеор!о!лог!
метеорологический | метеор!о!лог!ическ!ий
метеорология | метеор!о!лог!и!я 
метеосводка | метео!с!вод!к!а
метеослужба | метео!служ!б!а
метеоспутник | метео!с!пут!ник!
метеостанция | метео!станци!я 
метеоусловия | метео!услови!я 
метеоцентр | метео!центр!
метизация | метиз!аци!я  (скрещивание животных)
метизный | метиз!н!ый
метизы | метиз!ы
метил | метил!
метиламин | метил!амин!
метилбензол | метил!бенз!ол!
метилен | метил!ен!
метилкаучук | метил!каучук!
метиловый | метил!ов!ый
метилцеллюлоза | метил!целлюл!оз!а
метис | метис!
метисация | метис!аци!я  (смешение рас)
метиска | метис!к!а
метить1 | мет!и!ть1 (овец)
метить2 | мет!и!ть2 (в цель)
метиться1 | мет!и!ть!ся1 (овец)
метиться2 | мет!и!ть!ся2 (в цель)
метка | мет!к!а
меткий | метк!ий
меткость | метк!ость!
метла | мет!л!а
метлахский | метлах!ск!ий
метлица | мет!л!иц!а
метнуть | мет!ну!ть
метод | метод!
методизм | метод!изм!
методика | метод!ик!а
методист | метод!ист!
методистка | метод!ист!к!а
методистский | метод!ист!ск!ий
методический | метод!ич!еск!ий
методичный | метод!ичн!ый
методкабинет | метод!кабинет!
методологический | метод!о!лог!ическ!ий
методология | метод!о!лог!и!я 
метол | метол!
метонимический | метоним!ическ!ий
метонимичный | метоним!ичн!ый
метонимия | метоним!и!я 
метоп | метоп! и метоп!а
метопа | метоп! и метоп!а
меточный | мет!оч!н!ый
метр1 | метр!1 (мера длины)
метр2 | метр!2 (стихотворный размер)
метраж | метр!аж!
метранпаж | метранпаж!
метрдотель | метрдотель!
метресса | метресс!а
метрика1 | метр!ик!а1 (от метр!2)
метрика2 | метрик!а2 (документ)
метрит | метр!ит!
метрический1 | метр!ическ!ий1 (от метр!1)
метрический2 | метр!ич!еск!ий2 (от метр!ик!а1)
метрический3 | метрич!еск!ий3 (от метрик!а2)
метро | метро, нескл., с.
метровый | метр!ов!ый
метролог | метр!о!лог!
метрологический | метр!о!лог!ическ!ий
метрология | метр!о!лог!и!я 
метромост | метр!о!мост!
метроном | метр!о!ном!
метрополитен | метро!политен!
метрополитеновец | метро!политен!ов!ец!
метрополия | метропол!и!я  (государство)
метростроевец | метро!стро!ев!ец!
метростроевский | метро!стро!ев!ск!ий
метростроение | метро!стро!ени!е 
метростроитель | метро!стро!и!тель!
метротрасса | метро!трасс!а
метче | метч!е, сравн. ст. (от меткий, метко)
метчик | мет!чик! (о человеке)
метчик | мет!чик! (инструмент)
метший | мет!ш!ий
мефистофельский | мефистофель!ск!ий
мех | мех!
механизатор | механ!из!атор!
механизаторский | механ!из!атор!ск!ий
механизация | механ!из!аци!я 
механизированный | механ!из!ир!ова!нн!ый
механизировать | механ!из!ир!ова!ть
механизироваться | механ!из!ир!ова!ть!ся
механизм | механ!изм!
механик | механ!ик!
механика | механ!ик!а
механико-математический | механ!ик!о!-математ!ич!еск!ий
механико-машиностроительный | механ!ик!о!-машин!о!стро!и!тельн!ый
механист | механ!ист!
механистический | механ!ист!ическ!ий
механистичный | механ!ист!ичн!ый
механицизм | механ!иц!изм!
механический | механ!ич!еск!ий
механичный | механ!ич!н!ый
механогидравлический | механ!о!гидравл!ич!еск!ий
механомонтажный | механ!о!монт!аж!н!ый
